superficie,region,prix
9.0,4,137.20132712792395
9.1,1,128.6304835701487
9.2,2,127.9326887353208
9.3,3,133.7794426094362
9.4,1,128.72490563733214
9.5,3,135.39165294209533
9.6,4,133.89377350259502
9.7,3,130.80952846985852
9.8,3,139.0093342064311
9.9,1,131.2181220104906
10.0,2,130.33956018890046
10.1,1,134.28173262384362
10.2,3,134.28082294874483
10.3,4,137.79228678318302
10.4,5,142.530680420691
10.5,5,144.47817716699515
10.6,3,144.14377259681996
10.7,2,138.64056042724008
10.8,1,134.6161331934581
10.9,3,138.86018547707775
11.0,1,136.57618735002018
11.1,5,140.1084927178971
11.2,3,139.85325734267178
11.3,5,138.1298458937807
11.4,1,132.2385956342732
11.5,3,140.5658523968967
11.6,4,143.9208286362244
11.7,5,140.2123607198745
11.8,3,141.36264288919307
11.9,3,141.51739392631274
12.0,1,141.02189495575468
12.1,1,139.56888533548246
12.2,1,137.5274866134854
12.3,1,138.34179393100032
12.4,3,141.80557115612828
12.5,2,141.1955827929859
12.6,4,146.3876990130076
12.7,3,141.83371300767683
12.8,1,142.5975879030534
12.9,5,147.4647992235927
13.0,5,154.89627035994005
13.1,5,147.53887242884662
13.2,5,152.5432691573607
13.3,1,147.79943100662715
13.4,4,149.01507076018993
13.5,2,141.23044480887268
13.6,3,145.49625393864736
13.7,3,143.97417599522248
13.8,5,157.22694243111408
13.9,1,143.76311309923133
14.0,1,142.52329847753057
14.1,4,148.8906652443913
14.2,2,147.73217466630214
14.3,1,147.14187757257687
14.4,5,156.27133109022984
14.5,2,147.0992774089032
14.6,1,145.6451000981808
14.7,1,145.17631815823785
14.8,3,155.18056148788233
14.9,5,156.28285867858233
15.0,3,154.48811738364412
15.1,4,155.4400437571461
15.2,5,156.627687009321
15.3,4,149.29490236414676
15.4,3,152.1197108171174
15.5,4,147.46203180396265
15.6,4,158.50580149887531
15.7,5,163.77403733975171
15.8,2,150.14160330100762
15.9,1,155.80310520364696
16.0,5,156.92488564324302
16.1,4,152.8926969710534
16.2,1,151.31338533631833
16.3,4,161.09826444257874
16.4,3,155.9887351806628
16.5,5,163.3128672108251
16.6,4,162.9647560761731
16.7,2,151.9082567936478
16.8,2,151.59006319951422
16.9,3,158.8947461088411
17.0,2,157.17678444549946
17.1,1,151.1873873636315
17.2,4,164.19809525260325
17.3,4,158.74762820849065
17.4,4,159.5749265989059
17.5,3,161.7025302508216
17.6,3,163.51172375435317
17.7,2,155.98289903703358
17.8,3,163.1713860553609
17.9,4,160.87749138674988
18.0,1,156.38831671231404
18.1,4,164.49869113645371
18.2,5,163.5595579665513
18.3,4,161.3424207799336
18.4,3,165.42852468782104
18.5,3,156.58966714024362
18.6,4,167.39222326476332
18.7,1,155.90979115431955
18.8,2,160.0150341486217
18.9,1,158.02187102239742
19.0,4,172.34635966155747
19.1,1,155.73826005991376
19.2,5,166.53325514028606
19.3,4,163.03624484716588
19.4,1,161.46427192801173
19.5,4,165.31904072370756
19.6,3,169.56510452135538
19.7,5,170.3212032823426
19.8,3,161.08071153144553
19.9,3,159.78678333322617
